passage,species1_form,species2_form,interaction_form,triplet_key,doc_id,field
"Yellow-legged gulls (Larus michahellis, YLG) and Audouin's gulls (Ichthyaetus audouinii, AG) are highly susceptible to plastic additives, due to their distribution, trophic position, and behaviour.",Larus michahellis,Ichthyaetus audouinii,trophic,ott:1041800;ott:802818;RO_0002438,39084383,abstract
The use of a biological agent to control the snake mite was first developed by using the predatory mites Hypoaspis miles and Hypoaspis aculeifer.,Hypoaspis miles,Hypoaspis aculeifer,predatory,ott:91763;ott:158257;RO_0002439,24063093,abstract
"Photorhabdus temperata, an insect pathogen and nematode symbiont, is motile in liquid medium by swimming.",Photorhabdus temperata,nematode,symbiont,ott:1094889;ott:395057;RO_0002440,21358760,abstract
We have previously shown in rodent models that activity in PO is tightly regulated by inhibitory inputs from a GABAergic nucleus known as the zona incerta (ZI).,rodent,zona,regulated by,ott:864593;ott:4407190;RO_0002334,25143541,abstract
"By contrast, pegged rhizoid development was not affected by disruption of MpNAC5, the Marchantia ortholog of the VND genes that control WCC formation in flowering plants.",Marchantia,flowering plants,affected by,ott:56599;ott:99252;RO_e000056,38295796,abstract
"There were strong regional variations in disease prevalence, with scab and lice infestation being highest in Wales, Scotland and the north of England and blowfly strike highest in the south west of England.",lice,blowfly,infestation,ott:779649;ott:1011003;RO_e000005,16751308,abstract
"The oral bacterium, Aggregatibacter actinomycetemcomitans, produces a leukotoxin (LtxA) that is specific for white blood cells (WBCs) from humans and Old World primates by interacting with lymphocyte function antigen-1 (LFA-1) on susceptible cells.",Aggregatibacter actinomycetemcomitans,humans,interacting with,ott:1098154;ott:770309;RO_0002434,19747730,abstract
A transient ataxia of sheep associated with the ingestion of Tribulus micrococcus (yellow vine).,ataxia,Tribulus micrococcus,ingestion,ott:3384653;ott:6112575;RO_e000009,4062741,title
Effects of the Inoculant Strain Pseudomonas sp. SPN31 nah + and of 2-Methylnaphthalene Contamination on the Rhizosphere and Endosphere Bacterial Communities of Halimione portulacoides.,Pseudomonas sp. SPN31,Halimione portulacoides,Contamination,ott:5239104;ott:644696;RO_e000002,28260118,title
Prophage-mediated modulation of interaction of Streptococcus thermophilus J34 with human intestinal epithelial cells and its competition against human pathogens.,Streptococcus thermophilus,human,pathogens,ott:175946;ott:770315;RO_0002556,26689226,title
RESULTS Themes were grouped under four categories: (1) chlamydia and stigma; (2) the application of stigma to self and others; (3) factors affecting testing; and (4) knowledge.,chlamydia,stigma,affecting,ott:41346;ott:4278360;RO_e000055,32183939,abstract
"Previous studies have shown that a synthetic, unglycosylated analogue of the N-terminal peptide from link protein can function as a growth factor and up-regulate proteoglycan biosynthesis in explant cultures of normal human articular cartilage from a wide age range of subjects (McKenna et al., Arthritis Rheum.",human,Rheum,regulate,ott:770315;ott:279975;RO_0002211,10434036,abstract
"The purified protein was used for an in vitro inhibition test against rice pathogens, Pyricularia oryzae and Xanthomonas oryzae.",Pyricularia oryzae,Xanthomonas oryzae,pathogens,ott:7519514;ott:838371;RO_0002556,14659081,abstract
"The objective of this study was to establish AAT point prevalence, drug susceptibility of associated trypanosomes, and measure infectivity by multiple AAT mammalian hosts to tsetse flies in Shimba hills, a resource-poor region with high bovine trypanosomiasis prevalence and morbidity rates at the coast of Kenya.",tsetse flies,bovine,hosts to,ott:753708;ott:490099;RO_0002453,32349785,abstract
We evaluated the effect of manipulated brood size and natural infestation by the carnid fly Carnus hemapterus on nestling growth and telomere shortening of wild jackdaws (Corvus monedula).,Carnus hemapterus,Corvus monedula,infestation,ott:4410949;ott:711848;RO_e000005,37864481,abstract
One of these toxins (alphaCTx ImI from the worm-eating snail Conus imperialis) revealed that two kinetically and pharmacologically distinct elements underlie the ACh-induced Cl-dependent response in Aplysia neurons: one element is a rapidly desensitizing current that is blocked by the toxin; the other is a slowly desensitizing current that is unaffected by the toxin.,Conus imperialis,Aplysia,eating,ott:115619;ott:126322;RO_0002470,9763466,abstract
"In parallel we determined the profile for RTX toxin genes of the sample of strains by PCR testing for the presence of the A. equuli haemolysin gene aqx, and the toxin genes apxI, apxII, apxIII and apxIV, which are known in porcine pathogens such as Actinobacillus pleuropneumoniae and Actinobacillus suis.",Actinobacillus pleuropneumoniae,Actinobacillus suis,pathogens,ott:1092792;ott:1098145;RO_0002556,12791244,abstract
"Some bacteria were isolated from Dendroctonus micans and its specific predator, Rhizophagus grandis.",Dendroctonus micans,Rhizophagus grandis,predator,ott:1017370;ott:3355224;RO_0002439,20336502,abstract
Norovirus group II and enteric adenovirus were the major pathogens detected in the identical group.,Norovirus,adenovirus,pathogens,ncbitaxon_viruses:142786;ncbitaxon_viruses:10535;RO_0002556,29212291,abstract
Bioaccumulation of Cr by the Buddleja Species and Schinus molle L. Grown with and Without Compost in a Sandy Soil Contaminated by Leather Industrial Effluents.,Buddleja,Schinus molle,Contaminated by,ott:400418;ott:411495;RO_e000001,39771166,title
"Management of Polyarthritis Affecting Sea Turtles at Kélonia, the Reunion Island Sea Turtle Observatory (2013-17).",Sea Turtles,lonia,Affecting,ott:66469;ott:7788812;RO_e000055,30289324,title
"Here, we report that BcSpl1 is also able to induce in tobacco systemic resistance to two plant pathogens, Pseudomonas syringae and B. cinerea, which correlates with the induction of two pathogenesis-related genes, PR-1a and PR-5.",tobacco,Pseudomonas syringae,pathogens,ott:222787;ott:413638;RO_0002556,23072280,abstract
"The assembly-based analysis showed that foam-forming bacteria such as Mycobacterium and Gordonia dominated ARGs-carrying contigs in PM2.5, suggesting that higher atomization capabilities of ARB contribute to airborne ARG prevalence.",Mycobacterium,Gordonia,contribute to,ott:5255341;ott:5836510;RO_0002326,39616810,abstract
"Unlike bacteria and viruses, Toxoplasma gondii and other parasites of the phylum Apicomplexa actively invade host cells, and this process critically depends on adhesins (microneme proteins) released onto the parasite surface from intracellular organelles called micronemes (MIC).",viruses,Toxoplasma gondii,depends on,ncbitaxon_viruses:10239;ott:252145;RO_0002502,19901027,abstract
"When used in intermediate hosts of Schistosoma mansoni, the fungus promoted a high percentage decrease in the population density of aquatic snails.",Schistosoma mansoni,fungus,hosts of,ott:191483;ott:737448;RO_0002453,37148335,abstract
"Compared to CFnoLD, aCFLD had significantly higher baseline relative abundances of potential pathogens Streptococcus salivarius and Veillonella parvula.",Streptococcus salivarius,Veillonella parvula,pathogens,ott:175887;ott:528374;RO_0002556,38448281,abstract
Salt Marsh Claviceps purpurea in Native and Invaded Spartina Marshes in Northern California.,Claviceps purpurea,Spartina,Invaded,ott:103008;ott:997889;RO_e000045,30781178,title
"Aphanizomenon sp. ULC602, recently isolated in a Belgian lake, is a filamentous, nitrogen-fixing, freshwater cyanobacterium that is one of the primary producers of cyanotoxins following its bloom formation, causing water contamination.",Aphanizomenon,cyanobacterium,contamination,ott:893791;ott:668147;RO_e000002,38188574,abstract
"We studied the behaviour of two strains of a rotiferan prey (Brachionus calyciflorus) that differ in their ability to develop morphological defences in response to their predator Asplanchna brightwellii. Using video analysis, we tested: (a) if two strains differ in their response to predator presence and predator cues when both are undefended; (b) whether defended individuals respond to live predators or their cues; and (c) if the morphological defence (large spines) per se has an effect on the swimming behaviour.",Brachionus calyciflorus,Asplanchna brightwellii,predators,ott:939320;ott:2940884;RO_0002439,36009844,abstract
"Phylogenetic analyses were conducted with complete polyprotein or NIb protein sequences of 11 members of the family Potyviridae, including viruses of monocots or dicots and viruses transmitted by aphids, whiteflies, and mites.",Potyviridae,monocots,transmitted by,ncbitaxon_viruses:39729;ott:1058517;RO_0002451,18944883,abstract
"Recently, we identified and characterized the genes encoding several distinct members of the histidine-acid phosphatase enzyme family from Leishmania donovani, a primitive protozoan pathogen of humans.",Leishmania donovani,humans,pathogen of,ott:766598;ott:770309;RO_0002556,12708742,abstract
"Tobacco sterols (cholesterol, beta-sitosterol, campesterol, and stigmasterol) are present in tobacco smoke and appear in plasma of mammals exposed to cigarette smoke.",tobacco,mammals,exposed to,ott:222787;ott:244265;RO_e000044,3397625,abstract
"The nematode is widely distributed in Montana, primarily affecting winter wheat within the state.",nematode,wheat,affecting,ott:395057;ott:31926;RO_e000055,31600115,abstract
"Along with six treatment groups, a positive control T0(+) of healthy goldfish free from Argulus infestation was also maintained.",goldfish,Argulus,infestation,ott:1005907;ott:628405;RO_e000005,23090629,abstract
"RESULTS The results suggest that H1N1 does not survive long on naturally contaminated skin and fomites, and that secretions deposited on hands by coughing or sneezing have a concentration of <2.15 × 10 to 2.94 × 10 TCID(50)/mL.",H1N1,fomites,contaminated,ncbitaxon_viruses:114727;ott:4115678;RO_e000001,22264744,abstract
"Fifty-five ticks were infected with at least one of the three pathogens: 43 with B. burgdorferi, five with B. microti, and 17 with the HGE agent.",ticks,HGE agent,pathogens,ott:150787;ott:904893;RO_0002556,9452402,abstract
"Sacculina carcini is an endoparasite of the green crab, Carcinus maenas.",Sacculina carcini,green crab,endoparasite of,ott:664820;ott:1089892;RO_0002634,37689227,abstract
Protein synthesis at synaptic terminals contributes to LTP in hippocampus and to the formation of new synaptic connections by sensory neurons (SNs) of Aplysia.,hippocampus,Aplysia,contributes to,ott:1007058;ott:126322;RO_0002326,12884266,abstract
"Among shellfish, oysters are the most common vector of contamination, and the pathogens most frequently involved in these outbreaks are noroviruses, responsible for acute gastroenteritis in humans.",oysters,humans,contamination,ott:975317;ott:770309;RO_e000002,22440973,abstract
"Contamination in spider crabs and soles showed either weak or no seasonal trends, both quantitatively and qualitatively.",spider crabs,soles,Contamination,ott:428461;ott:749780;RO_e000002,38936792,abstract
"The mean concentration of sum (∑) PFAS above the method detection limit was 12.7 ± 6.96 ng g-1 wet weight in predator fish (all of which were salmonids) and 10.7 ± 10.4 ng g-1 in prey fish, with outlier levels found in slimy sculpin, Cottus cognatus (187 ± 12.2 ng g-1 ww).",salmonids,Cottus cognatus,prey,ott:739933;ott:993337;RO_0002458,37355115,abstract
Prevalence differed among host species (highest for puma and lowest for domestic cat) and was greater for indirectly transmitted pathogens.,puma,domestic cat,pathogens,ott:86161;ott:563166;RO_0002556,27209780,abstract
"In contrast, populations of S. dunnii growing in exposed crags had lower levels of population differentiation according to both nuclear and chloroplast data, congruent with a hypothesis of more effective between population seed dispersal and greater pollen-mediated gene flow due to the sunbird pollinator Nectarinia famosa.",chloroplast,Nectarinia famosa,pollinator,ott:5268918;ott:3597639;RO_0002455,21636365,abstract
"For this reason, from December 2015 to February 2016 a study was derived on hunted red deer in Idanha-a-Nova county to evaluate the Diptera larvae presence.",red deer,Diptera,hunted,ott:936014;ott:661378;RO_e000012,35892546,abstract
"Only limited data were available for other members of the Francisella genus, including F. philomiragia, an opportunistic pathogen of humans, F. noatunensis, a serious pathogen of farmed fish, and other less well described endosymbiotic species.",Francisella,humans,pathogen of,ott:850949;ott:770309;RO_0002556,22727144,abstract
"A novel double-stranded RNA-binding protein, disco interacting protein 1 (DIP1), contributes to cell fate decisions during Drosophila development.",disco,Drosophila,contributes to,ott:2957781;ott:34907;RO_0002326,12829713,title
"Lichen samples from different parts of the world have been known to accumulate elements to a greater degree than higher plants, if they are exposed to these elements from the atmosphere or from water and sediments.",Lichen,higher plants,exposed to,ott:4063586;ott:56610;RO_e000044,15262157,abstract
"For the corn, milo, and soybean meal series only fat retentions were significantly affected by tallow supplementation.",milo,soybean,affected by,ott:552986;ott:681762;RO_e000056,3575220,abstract
"To study how oligomerization may contribute to the thermostability of archaeon proteins, we focused on a hexameric protein, protein L-isoaspartyl-O-methyltransferase from Sulfolobus tokodaii (StoPIMT).",archaeon,Sulfolobus tokodaii,contribute to,ott:5991682;ott:58387;RO_0002326,15169774,abstract
"Both downy mildew pathogens of poppy; Peronospora meconopsidis and P. somniferi, are known contaminants of commercial seed stocks.",downy mildew,Peronospora meconopsidis,pathogens of,ott:1061726;ott:4028017;RO_0002556,32275719,abstract
"The hosts of larvae and nymphs of Amblyomma tigrinum, a tick whose adults feed on wild and domestic Canidae in South America, are uncertain.",Amblyomma tigrinum,Canidae,feed on,ott:95716;ott:770319;RO_e000007,16682121,abstract
"Among the genera investigated, Isotricha and Dasytricha were the only ones affected by supplementation.",Isotricha,Dasytricha,affected by,ott:546639;ott:308004;RO_e000056,35751758,abstract
"A putative ABC (ATP-binding cassette) transport gene cluster pltHIJKN was identified and characterized within a 7.5-kb genome region downstream of the antibiotic pyoluteorin (Plt) biosynthetic gene cluster in Pseudomonas sp. M18, a rhizosphere bacterium which is of ecological importance for controlling plant diseases caused by soil-borne fungal pathogens.",Pseudomonas sp. M18,rhizosphere bacterium,pathogens,ott:1067684;ott:6000267;RO_0002556,16581203,abstract
"The genetic diversity of the two Erodium lineages suggests two migration episodes took place from southern Iberia towards the north, with one lineage migrating via western Iberia and the other via eastern Iberia.",Erodium,Iberia,migrating,ott:197828;ott:4207515;RO_e000046,22445449,abstract
"Monophyly of the species of Hepatozoon (Adeleorina: Hepatozoidae) parasitizing (African) anurans, with the description of three new species from hyperoliid frogs in South Africa.",Hepatozoon,frogs,parasitizing,ott:266112;ott:991547;RO_0002445,29198245,title
This study aimed to evaluate the effect of the temperature on the responses of a Neotropical catfish exposed to a neurotoxin-rich cyanobacterial crude extract (Raphidiopsis raciborskii T3).,catfish,Raphidiopsis raciborskii,exposed to,ott:4138789;ott:480769;RO_e000044,38754694,abstract
"In this study, we demonstrate that nsp3 from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and avian coronavirus infectious bronchitis virus (IBV) directly interacts with melanoma differentiation-associated gene 5 (MDA5), rendering an inhibitory effect on the MDA5-mediated type I interferon (IFN) response.",SARS-CoV-2,infectious bronchitis virus (IBV,interacts with,ncbitaxon_viruses:2697049;ncbitaxon_viruses:11120;RO_0002434,36232993,abstract
"Bobcats (Lynx rufus) are the reservoir hosts for Cytauxzoon felis, the causative agent of cytauxzoonosis.",Lynx rufus,Cytauxzoon felis,reservoir hosts,ott:507545;ott:838548;RO_e000051,10461632,abstract
"The lack of ground-based predatory native NZ mammals has been assumed to have facilitated the evolution of terrestrial locomotion and the unique burrowing behaviour of Mystacina, just as flightlessness has arisen independently many times in island birds.",Mystacina,birds,predatory,ott:604411;ott:81461;RO_0002439,19615105,abstract
"Some aspects of epidemiology of filth flies: Musca domestica, Musca domestica vicina, Drosophilia melanogaster and associated bacteria pathogens in Ekpoma, Nigeria.",Musca domestica vicina,melanogaster,pathogens,ott:1014373;ott:5032572;RO_0002556,17627427,title
Identification of Loci Affecting Accumulation of Secondary Metabolites in Tomato Fruit of a Solanum lycopersicum × Solanum chmielewskii Introgression Line Population.,Solanum lycopersicum,Solanum chmielewskii,Affecting,ott:378964;ott:360692;RO_e000055,27733856,title
Larvae of both coccinellid species are affected by a limited diet [one pea aphid per day Acyrthosiphon pisum (Harris) (Homoptera: Aphididae)] compared with an excess diet (>20 aphids per day).,pea aphid,Homoptera,affected by,ott:814484;ott:7724666;RO_e000056,28308499,abstract
The effect of a recombinant hybrid human interferon alpha (IFN-alpha) (which cross-reacts with murine cells) on C57BL/6 mice infected with Plasmodium yoelii sporozoites or parasitized erythrocytes was determined.,human,Plasmodium yoelii,parasitized,ott:770315;ott:826551;RO_0002445,11389041,abstract
Deformed wing virus (DWV) presence was determined in the mites used to infest the bees.,Deformed wing virus,bees,infest,ncbitaxon_viruses:198112;ott:419526;RO_e000006,31034843,abstract
"In addition, ruddy ducks colonized the Andean highlands via a less common route as compared to other waterbird species that colonized the Andes northwards from the southern cone of South America.",ducks,Andes,colonized,ott:765185;ott:886022;RO_e000053,23346994,abstract
"Two parasitic angiosperms,Agalinis purpurea (Scrophulariaceae) andStriga asiatica (Scrophulariaceae), are compared as to the chemical recognition events involved in host selection.Agalinis is a hemiparasite which can mature to seed-set without a host, whereasStriga is a holoparasite and survives for only a very limited time without a host.",Agalinis purpurea,Scrophulariaceae,hemiparasite,ott:131876;ott:23713;RO_0002237,24306796,abstract
Combined mutations of the penA with ftsX genes contribute to ceftriaxone resistance in Neisseria gonorrhoeae and peptide nucleic acids targeting these genes reverse ceftriaxone resistance.,penA,Neisseria gonorrhoeae,contribute to,ott:63760;ott:286811;RO_0002326,37567469,title
Palaearctic Culicoides midges (Diptera: Ceratopogonidae) represent a vital link in the northward advance of certain arboviral pathogens of livestock such as that caused by bluetongue virus.,Culicoides,bluetongue virus,pathogens of,ott:722888;ncbitaxon_viruses:40051;RO_0002556,24148154,abstract
"Metagenomic assembly analysis of the microbial mats of an arsenic rich, hot spring was performed to describe the genotypes of the predator Bdellovibrio and the ecogenetically adapted taxa Enterobacter.",Bdellovibrio,Enterobacter,predator,ott:379950;ott:424061;RO_0002439,25953741,abstract
Rare pathogens of Mycobacterium (2/19) and fungi (1/19) were also identified.,Mycobacterium,fungi,pathogens of,ott:5255341;ott:352914;RO_0002556,23958163,abstract
Cellular and potential molecular mechanisms underlying transovarial transmission of the obligate symbiont Sulcia in cicadas.,Sulcia,cicadas,symbiont,ott:3542543;ott:290567;RO_0002440,36515176,title
"The most frequent pathogens are: E. coli, enterococci, staphylococci, Pseudomonas aeruginosa, Proteus mirabilis.",Pseudomonas aeruginosa,Proteus mirabilis,pathogens,ott:216671;ott:524722;RO_0002556,12898972,abstract
"Two new species of Silphitrombium Fain, 1992 (Acari: Prostigmata: Neothrombiidae), ectoparasites of beetles (Insecta: Coleoptera), are described from Sistan and Baluchestan Province, eastern Iran: S. elateridum sp. nov.",Silphitrombium,Coleoptera,ectoparasites,ott:4698330;ott:865243;RO_0002632,25112641,abstract
These results indicate that CATs negatively regulate H₂O₂ accumulation in guard cells and suggest that inducible H₂O₂ production rather than constitutive elevation modulates stomatal apertures in Arabidopsis.,CATs,Arabidopsis,negatively regulate,ott:563166;ott:309275;RO_0002212,22525681,abstract
"The genus Anaplasma (family Anaplasmataceae, order Rickettsiales) includes obligate intracellular alphaproteobacteria that multiply within membrane-bound vacuoles and are transmitted by Ixodidae ticks to vertebrate hosts.",Anaplasma,Ixodidae,transmitted by,ott:571610;ott:896272;RO_0002451,33794351,abstract
"In order to reduce cell invasion, cathepsin L propeptide-like proteins which are classified as the I29 family in the MEROPS peptidase database were characterized from Calotropis procera R. Br., rich in cysteine protease.",MEROPS,Calotropis procera,invasion,ott:989088;ott:920658;RO_e000045,29560748,abstract
"Borrelia miyamotoi , a bacterium in the relapsing fever type of Borrelia, is the first of this type of Borrelia that is transmitted by hard-bodied ticks such as Ixodes scapularis.",Borrelia miyamotoi,Ixodes scapularis,transmitted by,ott:73442;ott:621065;RO_0002451,38167816,abstract
"We conclude that ENNA can directly inhibit ovarian function in cattle, decreasing the proliferation and steroid production of GC.",ENNA,cattle,directly inhibit,ott:4691985;ott:1066581;RO_0011010,36287982,abstract
"The low activity of the Crimean focus of CCHF may be the result of the intensive use of land, the widely spread stall-feeding of cattle, as well as a sharp decrease in the number of hares on the territories of hunting preserves.",cattle,hares,hunting,ott:1066581;ott:864610;RO_e000011,1759520,abstract
"Heartland virus was first isolated in 2009 from two patients in Missouri and is transmitted by the Lone Star tick, Amblyomma americanum.",Heartland virus,Lone Star tick,transmitted by,ncbitaxon_viruses:1216928;ott:621047;RO_0002451,37587216,abstract
"The Brazilian moth Premolis semirufa (Walker, 1856), usually called pararama, is a parasite of the rubber Hevea genus.",Premolis semirufa,Hevea,parasite of,ott:71841;ott:339360;RO_0002444,24023721,abstract
This study aimed to isolate and identify postharvest fungal pathogens lemon and to evaluate the antifungal effects of synergistic Monarda citriodora EO (MEO)-constituent vapor combinations in vivo and in vitro.,lemon,Monarda citriodora,pathogens,ott:3942422;ott:990048;RO_0002556,38040653,abstract
These derivatives were screened against Fusarium oxysporum and the red palm weevil (RPW) Rhynchophorus ferrugineus Oliver (coleopteran: Curculionidae) as palm pathogens.,Fusarium oxysporum,red palm weevil,pathogens,ott:404217;ott:62699;RO_0002556,25895344,abstract
"Burkholderia dolosa is a member of the Burkholderia cepacia complex, a group of opportunistic bacterial pathogens often associated with fatal chronic infections in the lungs of patients suffering from cystic fibrosis (CF).",Burkholderia dolosa,Burkholderia cepacia complex,pathogens,ott:484676;ott:429810;RO_0002556,24526633,abstract
The diagnostic titer of antibodies to Toxocara antigens was revealed in 677 (11.8%) children of 5700 patients examined for toxocariasis; that for Opisthorchis antigens was in 595 (37.7%) of 1578 examined for Opisthorchis infestation.,Toxocara,Opisthorchis,infestation,ott:870348;ott:765760;RO_e000005,25296422,abstract
"The RstB histidine kinase of the two component system RstAB positively regulates the expression of damselysin (Dly), phobalysin P (PhlyP) and phobalysin C (PhlyC) cytotoxins in the fish and human pathogen Photobacterium damselae subsp. damselae, a marine bacterium of the family Vibrionaceae.",human,Photobacterium damselae subsp. damselae,positively regulates,ott:770315;ott:257558;RO_0002213,31105680,abstract
"For 52% of patients, a recognized enteric pathogen was identified, including rotavirus (43% of patients), bacteria (11%), enteric adenovirus (2.5%), and a mixture of pathogens (3.9%).",rotavirus,adenovirus (2,pathogens,ncbitaxon_viruses:10912;ncbitaxon_viruses:10515;RO_0002556,16088804,abstract
"In this study, we investigated the lateralization of escape and surveillance responses in young instars and adults of Locusta migratoria during biomimetic interactions with a robot-predator inspired to the Guinea fowl, Numida meleagris.",Locusta migratoria,Numida meleagris,predator,ott:178934;ott:684046;RO_0002439,28993651,abstract
"Promotion of human dermal fibroblast migration, matrix remodelling and modification of fibroblast morphology within a novel 3D model by Lucilia sericata larval secretions.",human,Lucilia sericata,migration,ott:770315;ott:173570;RO_e000046,16675968,title
"Successful pathogens, such as Mycobacterium tuberculosis and group B streptococcus, harbor phosphodiesterases (PDEs) that can cleave bacterial c-di-AMP as well as host-derived cGAMP to blunt the host's response to infection.",Mycobacterium tuberculosis,group B streptococcus,pathogens,ott:604112;ott:699197;RO_0002556,33492938,abstract
Hemorrhage syndrome is one of the most prevalent and epidemic diseases that is mainly caused by Aeromonas hydrophila invasion in Megalobrama amblycephala.,Aeromonas hydrophila,Megalobrama amblycephala,invasion,ott:1075459;ott:837011;RO_e000045,30081179,abstract
"Furthermore, stably-transformed insect cells can be used as modified hosts for conventional baculovirus expression vectors to produce foreign glycoproteins with ""mammalianized"" glycans which more closely resemble those produced by higher eucaryotes.",baculovirus,eucaryotes,hosts for,ncbitaxon_viruses:10469;ott:304358;RO_0002453,9597545,abstract
"Here, we demonstrated that a variety of Berberis species may serve as functional alternate hosts for cereal stem rust fungi and highlights the increased risks that the sexual cycle may pose to cereal production in Europe, which calls for new initiatives within rust surveillance, epidemiological research and resistance breeding.",Berberis,fungi,hosts for,ott:880484;ott:352914;RO_0002453,36246643,abstract
"The three well-supported clades were as follows: Clade A was in an unsupported position at the base of the tree and was almost exclusively comprised of parasites of catfishes (Siluriformes) from the Afrotropical and Indomalayan regions, including the type genus of the Lytocestidae (Lytocestus).",catfishes,Lytocestus,parasites of,ott:701516;ott:383903;RO_0002444,33275944,abstract
"In nature, both are transmitted by Culex, with wild birds, including jays, sparrows, and robins, serving as vertebrate hosts.",Culex,sparrows,transmitted by,ott:218720;ott:1011209;RO_0002451,39324792,abstract
Gangrenous ergotism in cattle grazing fescue (Festuca elatior L.) in South Africa.,cattle,Festuca,grazing,ott:1066581;ott:105596;RO_e000013,15214696,title
Many flies exposed to coffee (Coffea arabica) (up to 55% in an individual test) and guamo (Inga edulis) (up to 28.0%) gave positive results.,Coffea arabica,Inga edulis,exposed to,ott:1001050;ott:600238;RO_e000044,7979645,abstract
"reuteri), a type of Lactobacillus spp., is a gut symbiont that can colonize many mammals.",Lactobacillus,mammals,colonize,ott:249759;ott:244265;RO_e000053,36819028,abstract
"M. giganteus is a new host for T. (Culmenamniculus) gracilis and T. (Oriana) minutus, and L. dominicanus is a new host for T. (Oriana) filiformis.",Culmenamniculus,minutus,host for,ott:537651;ott:114168;RO_0002453,32191991,abstract
"Two marine bacterial populations (Roseobacter sp. and Pseudomonas litoralis) were exposed to different concentrations of zinc (300, 625, 1250, 2000, 2500 and 5000 mg L-1) and cadmium (75, 250, 340, 500 and 1000 mg L-1) using two culture media (full nutrient Marine Broth 2216 ""MB"" and 1:10 (vol/vol) dilution with seawater of Marine Broth 2216 ""MBSW""), in order to assess population responses depending on the culture medium and also potential adverse effects associated with these two metals.",Roseobacter sp,Pseudomonas litoralis,exposed to,ott:7026124;ott:355706;RO_e000044,29679785,abstract
An ammonia tolerance test (ATT) is described in control dogs and in patients affected by liver disease with or without portosystemic collateral circulation.,ammonia,dogs,affected by,ott:158522;ott:247333;RO_e000056,7134644,abstract
"Portions of a large pecan nursery in Madison County, Florida were infested with an unknown species of root-knot nematode.",pecan,root-knot nematode,infested,ott:259040;ott:1043280;RO_e000005,30791286,abstract
"Following the invasion by the pine wood nematode (PWN) into north-east China, a notable disparity in susceptibility was observed among Pinaceae species.",pine wood nematode,Pinaceae,invasion,ott:1093850;ott:994067;RO_e000045,39434253,abstract
"The adult tapeworm develops in the intestine of human beings and is also responsible for neurocysticercosis, which is caused by the metacestode or cysticercus that develops in the brain.",human,cysticercus,develops in,ott:770315;ott:635261;RO_0002226,16995397,abstract
Guinea pigs were exposed to daily induction exposures with an aerosol of bovine serum albumin (BSA) or BSA conjugated with IEM or IEP.,Guinea pigs,bovine,exposed to,ott:744006;ott:490099;RO_e000044,6195771,abstract
