Sentence,label,passage,sentence
a new test of differentiation of bacillus cereus and bacillus anthracis based on the existence of spore appendages,0,,
the positive isolates were candida albicans 89 candida krusei 28 candida glabrata 28 candida tropicalis 62 candida stellatoidea 28 and candida parapsilosis 05,0,,
test of catechol tannic acid bidens pilosa croton oil and phorbol for cocarcinogenesis of esophageal tumors induced in rats by methylnamylnitrosamine,0,,
the cytochrome composition of candida mycoderma and torulopsis candida was studied by means of absorption spectra and spectra of the first derivative which were recorded at the temperature of liquid nitrogen and room temperature,0,,
methods two micromanipulation techniques subzonal sperm injection suzi and partial zona dissection pzd were used to assist fertilisation in patients with abnormal semen parameters,0,,
increased rate of melanization in hemolymph of american cockroaches periplaneta americana and house crickets acheta domesticus intoxicated by insecticides,0,,
the human and goat lars share 65 kilobases of homologous sequences that are as highly conserved as the epsilonglobin gene promoters,0,,
the efficacy of triclabendazole was evaluated in the treatment of naturally acquired fascioloides magna infections in whitetailed deer odocoileus virginianus,0,,
maternal pheromone in the spiny mouse acomys cahirinus,0,,
investigations in guyana in 196163 showed that wuchereria bancrofti was the only filarial parasite causing elephantiasis and that culex pipiens fatigans was the primary vector,0,,
crossreactions of sera from toxocara canisinfected mice with toxascaris leonina and ascaris suum antigens,0,,
twentynine repellents were tested on human skin for duration of activity as protectants against nymphal lone star ticks amblyomma americanum and against blacklegged or deer ticks ixodes scapularis say,0,,
cd4 expression on various human rhesus and african green monkey cell lines confers differential susceptibilities for hiv1 hiv2 and simian immunodeficiency siv strains,0,,
the deduced amino acid sequence shows moderate homology to human alpha 1antitrypsin 38 guinea pig contrapsin 35 human alpha 1antichymotrypsin 34 and human proteinase c inhibitor 31 all members of the serine protease inhibitor serpin family,0,,
regulation of the bovine immune response to immunization with brucella abortus strain 19 s19 was investigated through application of a modification of an assay to measure suppressor t lymphocyte activities in humans and through development and characterization of antigenstimulated t lymphocyte lines in vitro,0,,
by the neuroanatomical tracing technique based on uptake transport and immunocytochemical detection of injected phaseolus vulgaris leucoagglutinin phal fiber trajectories of labeled neurons can be followed with great accuracy to their termination areas,0,,
liver collagen in opisthorchis viverrini infected hamsters following praziquantel treatment,0,,
the changes in the tcell subsets were closely related to tumour capsule status and the human antimurine antibody hama response but no relationship was found between the tumour and administration of a moderate dose of radioimmunoconjugate,0,,
chemical and functional homology of myotoxin a from prairie rattlesnake venom and crotamine from south american rattlesnake venom,0,,
acinetobacter spp thought to be important in phosphate removal in activated sludge were poorly represented by clone sequences in both libraries,0,,
titration of the ubiquinol oxidase in soybean cotyledon mitochondria with these compounds gave the concentration of inhibitor required to elicit 50 of the maximum observed effect i50 values about one order of magnitude higher than those found with arum mitochondria and again the values depended on the respiratory substrate,0,,
effects of adrenergic blockade on adipose tissue lipolysis provoked in cats and humans by intravenous perfusion of isoprenaline,0,,
survival of plasmidcontaining strains of escherichia coli pseudomonas aeruginosa and staphylococcus aureus in phenylmercuric nitrate and thiomersal,0,,
gamma scintigraphic analysis of the distribution of perfusion of blood in the equine foot during black walnut juglans nigrainduced laminitis,0,,
rats were given daily injections of choline lithium or lithium plus choline for either 11 or 18 days and red cell choline glycine and glutathione levels were measured using proton nuclear magnetic resonance spectroscopy,0,,
1966the clearance factor produced in the serum of rabbits immunized with a killed vaccine of an stype virulent strain of salmonella enteritidis was identified as o agglutinin and characterized immunochemically as a class of macroglobulin with a sedimentation coefficient of 127s,0,,
the anticollecting duct antibody anticda could be absorbed from serum by normal adult rabbit or human kidney tissue and by one of three specimens of renalcell carcinoma tissue,0,,
transmission and course of trichophyton erinacei infections in british hedgehogs,0,,
we transplanted aliquots of human colon tumours into male and female nude mice and studied tumour growth and expression of the ps2bcei gene by immunostaining and mrna analysis,0,,
legionella pneumophila inhibits acidification of its phagosome in human monocytes,0,,
thymidine tk and deoxycytidine dck kinase levels chromosome counts and whole culture proteindna ratios have been determined in the tk plasmodial strains of p polycephalumtu84 and tu63and on several wild type wt plasmodial and amoebal strains from wis 1 and colonia backgrounds,0,,
the three azospirillum species showed four identical proteins in common out of the six main proteins presented in sdspage h seropedicae had only two major proteins with one of them common to all three azospirillum species,0,,
comparative studies on lipid components of ustilago bullata and ustilago maydis spores,0,,
graphidium strigosum was demonstrated in 3688 trichostrongylus retortaeformis in 8278 passalurus ambiguus in 1311 and trichuris leporis in 713 of the rabbits,0,,
two cytochromes of the c type c550 and c553 were isolated from the marine diatom phaeodactylum tricornutum and purified by ammonium sulfate fractionation and deaecellulose column chromatography,0,,
antigenic crossreactions between woodchuck hepatitis virus and human hepatitis b virus shown by immune electron microscopy,0,,
identification of the organism based on study of photographs was judged to be a firstinstar larva of a cuterebra rodent bot fly although identification of firstinstar stage myiasisproducing fly larvae is impossible,0,,
glauconyssus a new genus associated with african bats acari macronyssidae,0,,
the proteolipid apoprotein from bovine white matter has been reported to increase the phase transition temperature of dimyristoyl phosphatidylcholine in contrast to a proteolipid apoprotein fraction from human myelin called lipophilin which decreases the enthalpy without altering the phase transition temperature,0,,
changes in lactulose excretion were significantly influenced by zinc supplementation in children with e coli shigella sp and campylobacter jejuni stool isolates,0,,
the authors are of the opinion that this is the first armadillo of the d novemcinctus species to present experimental systemic infection with m leprae in south america,0,,
in this group of patients six cases of aspergillus fumigatus pneumonia two cases of candida albicans fungemia and one case of candida glabrata pneumonia occurred of which six patients died,0,,
immunologically related molecules with the same molecular weight were identified by polyclonal antibodies in strains hm1imss entamoeba invadens and entamoeba histolytica laredo,0,,
key to the families and subfamilies of acanthocephala with the erection of a new class polyacanthocephala and a new order polyacanthorhynchida,0,,
peripheral blood nl were reacted with streptococcus equisimilis in 20 per cent pooled equine serum for 30 60 and 90 mins and functional activities of nl were determined using a fluorochrome microassay,0,,
p450 was investigated for a s9mediated mutagenicity of aflatoxin b1 benzoapyrene 78dihydrodiol 2acetylaminofluorene and nnitrosomorpholine in salmonella typhimurium strains and b the activity of aryl hydrocarbon hydroxylase ethoxycoumarin odeethylase ethoxyresorufin odeethylase aminopyrine ndemethylase and testosterone 6 beta 7 alpha and 16 betahydroxylases,0,,
platos model of the psyche a holistic model for nursing interventions,0,,
histoplasma capsulatum is a facultative intracellular fungus that spreads lymphohematogenously to involve organ systems rich in mononuclear phagocytes,0,,
this activity could be blocked by rabbit antirecombinant bovine tnfalpha serum,0,,
the inoculum consisted of a mixture of m bovigenitalium strain al and diluted semen taken from a highly fertile bull free of mycoplasma infection,0,,
hb bb ewe lambs were youngest at first estrus while hb aa ewe lambs were oldest,0,,
dinitrogenfixing enterobacteriaceae klebsiella pneumoniae enterobacter cloacae and erwinia herbicola were accurately identified using the data base in the api analytical profile index,0,,
parasites isolated from six cases from dmeir and two other cases from syria were identified as leishmania major zymodeme mon26,0,,
glomerular and tubular basement membranes were trypsin digested and applied to an affinity column to which rabbit antibodies to bovine nephritogenic antigen had been coupled,0,,
efficacy of ivermectin against the abomasal nematode mecistocirrus digitatus in naturally infected zebu calves,0,,
on the comparative susceptibility of lymnaea natalensis kraus and l rufescens gray to infection with fasciola gigantica west african strain and the tissue responses in the snails,0,,
sheep red blood cells srbc coated with protein a of staphylococcus aureus or human igg by the chromium chloride technique were used as indicator cells with cluster distribution of the ligand,0,,
jonathan devries dennis gordon and alison stephen,0,,
effect of intravesical bacillus calmetteguérin on detection of a urothelial differentiation antigen in exfoliated cells of carcinoma in situ of the human urinary bladder,0,,
normal human and rabbit sera when incubated with staphylococcus aureus inhibit the adsorption of bacteriophages,0,,
after mounting tissue sections of 4 micron endogenous peroxidases were removed with hydrogen peroxide and the sections were incubated for 1 h at room temperature followed by 16 h at 4 degrees c with a highly specific antisera for human prolactin nonimmunized normal rabbit serum for a control reaction or antiserum preadsorbed with excess human prolactin for specificity determination,0,,
two new species of hartmannella amebae infecting freshwater mollusks,0,,
digestion of human immunoglobulin g by the major cysteine proteinase cruzipain from trypanosoma cruzi,0,,
dna sequences from the mitochondrial cytochrome b gene were obtained from a museum specimen of the presumed extinct thylacine thylacinus cynocephalus and were compared with homologous sequences from 13 representatives of the australian marsupial family dasyuridae,0,,
entamoeba histolytica interactions with polarized human intestinal caco2 epithelial cells,0,,
degeneration of monoamine nerves in anterior byssus retractor muscle of mytilus induced by 56dihydroxytryptamine,0,,
proteolytic fragments of the alphasubunit of the acetylcholine receptor of torpedo electric organ were generated by digestion with staphylococcus aureus v8 protease and their ability to bind alphabungarotoxin was assessed following resolution on polyacrylamide gels and transfer to nitrocellulose,0,,
cells of amp are packed with rickettsialike wolbachia while those of po contain a few granules,0,,
the recombinant human apolipoprotein e apoe produced by chinese hamster ovary cells cho322 cells in serum free culture was degraded to 24k and 23k fragments that contained nterminal amino acid,0,,
the lymphocytes of five owl monkeys aotus trivirgatus infected with herpesvirus saimiri and three control monkeys were studied,0,,
the phenoloxidase system responsible for the sclerotization of cockroach ootheca is found to be present as an inactive form in the left colleterial gland of periplaneta americana,0,,
the effect of the nootropic agents meclofenoxate mf and adafenoxate adf on the content of biogenic monoamines in the frontal cerebral cortex striatum hypothalamus and hippocampus of 22monthold rats was studied,0,,
the structure of populations of pseudomonas aeruginosa in association with staphylococci and escherichia,0,,
immunoreactive gonadotropinreleasing hormone gnrh was extracted from brains of striped mullet milkfish rainbow trout and chum salmon with acetonehcl and petroleum ether,0,,
rapid eye movement rem sleep deprivation and auditory stimulation ads separately increase rem sleep in rats cats and humans,0,,
synthesis of laspartic acid by escherichia coli and pseudomonas fluorescens as related to the cultivation conditions,0,,
experimental transmission of babesia bigemina in sheep using infective larval tick of boophilus decoloratus,0,,
investigation of sensitivity to ambrosia and dermatophagoides pteronyssinus,0,,
gradedhydrolysis studies on bael aegle marmelos gum,0,,
other common bacteria that cause this disease include haemophilus influenzae and legionella pneumophila,0,,
in the present study we reviewed cases of cryptosporidial infections in zoo and pet birds submitted to the state veterinary diagnostic laboratory auburn alabama for necropsy or histopathologic examination,0,,
detection by direct immunofluorescence of antibodies to treponema pallidum in the cutaneous infiltrates of rabbit syphilomas,0,,
the 31p energy modulus human 13 020 sd,0,,
morphologic reactions in brucella infections in guinea pigs prevaccinated with cellular components of virulent brucellea,0,,
pseudomonas type i species pi950 pseudomonas type ii species pii952 and two achromobacter acinetobacter species a981 and a70 grew and actively produced tva and tvb,0,,
fasciola hepatica molecular cloning nucleotide sequence and expression of a gene encoding a polypeptide homologous to a schistosoma mansoni fatty acidbinding protein,0,,
the human fetal g gammaglobin and adult betaglobin genes are expressed in a tissue and developmental stagespecific pattern in transgenic mice the g gamma gene in embryonic cells and the beta gene in fetal and adult erythroid cells,0,,
endotubebrush border complexes dissected from the intestines of haemonchus contortus and ancylostoma caninum,0,,
this modified z mobilis pyruvate decarboxylase was active when expressed in escherichia coli and had unchanged kinetics towards pyruvate,0,,
by employing rabbit antiserum to human lysosomes in immunodiffusion a soluble lysosomal component apparently distinct from the sedimentable membraneassociated antigen described above was identified in serum synovial fluid or pleural fluid from patients with sle ra ankylosing spondylitis and leukemoid reaction,0,,
bacteroides thetaiotaomicron an obligate anaerobe normally found in high concentrations in the human colon is one of the few colon bacteria that can ferment host mucopolysaccharides such as chondroitin sulfate,0,,
the action of two formulations containing bacillus thuringiensis serotype h14 on some autochthonous mosquito species diptera culicidae,0,,
emphasis on the decreasing bacterial spectra of the tetracyclines is noted as well as a discussion of therapy of infections due to betalactamaseproducing staphylococcus aureus and haemophilus influenzae,0,,
the effects of purified salmonella endotoxin lps and of lps combined with isolated human plasma high density lipoproteins hdl on oxidative metabolism measured by nitroblue tetrazolium nbttest and on lysozyme release of human granulocytes have been studied in vitro,0,,
sequences related to those near chromosome telomeres in the human malaria parasite plasmodium falciparum were extremely unstable during a genetic cross between two different clonal genotypes,0,,
an investigation into the protective activity of ascitic fluids from saimiri monkeys infected with plasmodium falciparum and the role played by opsonins in that activity was undertaken,0,,
it has less sequence similarity to metalloproteases from serratia marcescens and erwinia chrysanthemi,0,,
extendedspectrum betalactamases in escherichia coli and klebsiella spp,0,,
indian p papatasi acquired l major from meriones 56 l infantum from dog 109 but not l enrietti from guinea pig,0,,
membrane antigens from acute lymphocytic leukemia cells were labeled with 125i solubilized with sodium deoxycholate and immunoprecipitated with either human or rabbit antibcell antisera,0,,
neurochemical identification of a13 dopaminergic neuronal projections from the medial zona incerta to the horizontal limb of the diagonal band of broca and the central nucleus of the amygdala,0,,
by examining individual hemopoietic colonies in methylcellulose under inverted microscopy and using histochemical stains in conjunction with singlecolony histamine assays we have previously identified basophilmast cell progenitors in human peripheral blood,0,,
electrophysiologic responses in hamster superior colliculus evoked by regenerating retinal axons,0,,
ultrastructure of muscle cells in siboglinum fiordicum pogonophora,0,,
to characterize the actions of atrial natriuretic peptide anp in the human distal nephron we studied interactions between anp 002 microgramskgmin iv and acutely administered substances acting in the distal nephron that is amiloride and aldosterone in six healthy humans during maximal water diuresis,0,,
the samples were examined for total iga and secretory iga content iga immune complexes and the proportion of polymeric iga and iga antibodies to streptococcus mutans and escherichia coli,0,,
a preliminary evaluation of clostridium sp in the etiology of hamster enteritis,0,,
treatment of carp in khawia sinensis hsu infection,0,,
results indicated the predominantly zoophagic nature of species a and b with a relatively higher degree of anthropophagy for species a further the human blood index was found to be related to the proportion of human and cattle population in an area,0,,
the occurrence and localization of vegetative viral dna replication was studied in sections of tumors induced by the rabbit shope papilloma virus in cottontail and domestic rabbit papillomas in primary domestic rabbit carcinoma and in transplantable vx2 carcinoma by in situ hybridization of radioactive rna complementary to viral dna,0,,
the carbohydrate histochemistry of the rabbit oviduct has been examined by the use of four lectins conjugated with horseradish peroxidase as histochemical reagents,0,,
phototaxic behavior and the retinotectal transport of horseradish peroxidase hrp in surgically created cyclopean salamander larvae ambystoma,0,,
the kinetics of antibody responses of mycobacterium lepraeinfected armadillos to phenolic glycolipidi pgli were studied by means of elisa,0,,
bacteroides fragilis and clostridium species and fusobacterium spp,0,,
sch 40120 103chlorophenyl68910tetrahydrobenzob 18naphthyridin57hone is an inhibitor of the 5lipoxygenase enzyme in rat neutrophils human neutrophils and the the mc9 murine mast cell clone with ic50 values of 8 4 and 7 microm respectively,0,,
search for inhibitors against herpes simplex virus typei in cell extracts derived from human lymphoblastoid cell lines,0,,
with respect to gramnegative bacilli enterobacteria are rarely responsible for endocarditis and those of the hacek group haemophilus actinobacillus cardiobacterium etc were isolated in 3 of cases,0,,
kinin release from guinea pig plasma high molecular weight kininogen hmwk induced by various microbial and mite proteases has been demonstrated previously molla a yamamoto t akaike t miyoshi s and maeda h 1989 j biol,0,,
3methylindole has been shown in previous work to cause pulmonary edema and emphysema in cattle and goats,0,,
the effects of a long term treatment with cyclophosphamide on the thymus and on some blood parameters in wistar rats,0,,
the mics of amphotericin b fluconazole itraconazole miconazole and ketoconazole were determined in six centers by both macro and microdilution tests for 25 isolates of aspergillus flavus aspergillus fumigatus pseudallescheria boydii rhizopus arrhizus and sporothrix schenckii all isolates produced clearly detectable growth within 1 to 4 days at 35 degrees c in the rpmi 1640 medium,0,,
they are encoded by a large and diverse gene family in the nematode caenorhabditis elegans but by only a few genes in vertebrates,0,,
streptococcus pneumoniae attach to human pharyngeal epithelial cells through the specific interaction of bacterial surface adhesins with glycoconjugate receptors,0,,
5 is microsporon furfur a fungus inducing microsporiaand thereby reportableor nothing but an already long invalid name that causes confusion,0,,
since atlv can infect primates rabbit and rat atlv might have been prevalent among a wide variety of mammals and exchanged genetic segments zoonotic like influenza virus,0,,
effects of prolonged social isolation on responses of neurons in the bed nucleus of the stria terminalis preoptic area and hypothalamic paraventricular nucleus to stimulation of the medial amygdala,0,,
the predominant isolation from the infected middle ears was nongroupable betahemolytic streptococci although isolations of streptococcic groups c e and g pasteurella multocida and corynebacterium pyogenes were made,0,,
the gene encoding dihydrolipoyl transacetylase from azotobacter vinelandii expression in escherichia coli and activation and isolation of the protein,0,,
feral swine from both santa cruz island and santa catalina island were tested and antibodies were present for 8 of 9 vesv types and all smsv types except smsv4,0,,
sex difference in the bed nucleus of the stria terminalis of the human brain,0,,
surface characteristics of wolinella recta atcc 33238 and human clinical isolates correlation of structure with function,0,,
radiation therapy of ceruminous gland carcinomas in dogs and cats,0,,
effects of the ph and the urine infected by escherichia coli and proteus mirabilis on chromic catgut polyglycolic acid and polyglactin 910 study in vitro,0,,
effects of the alkaloid complex of nuphar luteumlsibthet smlutenurine on mitoses in allium cepal,0,,
purified eosinophil and neutrophil cationic proteins isolated from the lysosomal secretion granules of human leucocytes have been tested for cytotoxic capacity against lungstage schistosomula of schistosoma mansoni in vitro,0,,
microassay for colorimetric estimation of complement activity in guinea pig human and mouse serum,0,,
regional cerebral ischemia was produced by common carotid artery occlusion in gerbils and by middle cerebral artery occlusion in dogs cats and squirrel monkeys,0,,
it is also not detectable in cerebellar cultures from rabbit rat chicken and human,0,,
immunoperoxidase methods were used to reveal sauvaginelike immunoreactivity svli in the urophysis and whole caudal neurosecretory system of fresh water fish tinca tinca and salmo gairdneri l both dahlgren cell cytoplasm and axons which reach the urophysis were filled with svli granules,0,,
on the second place follow species of epicoccum and penicillium as well a some asco and basidiomycetes,0,,
the production and evaluation of alloantibodies for gla typing in goats,0,,
the syndrome was not caused by b patei or b pahangi and was not correlated with the presence or absence of microfilaremia,0,,
toxicity of tansy ragwort senecio jacobaea to goats,0,,
the zebrafish genome was found to contain two sequences which crosshybridize strongly with the engrailed gene of drosophila,0,,
after 5 days trypsin 1 mgml had significantly p less than 0001 reduced abscess formation in animals inoculated with monomicrobial bacteroides fragilis clots 20 versus 87 or mixed escherichia colib,0,,
solution scattering experiments using both xrays and neutrons are reported for human complement component c3 and up to six other glycoprotein fragments that are derived from c3,0,,
effects of infections by the ciliate lambornella clarki on larval populations of its mosquito host aedes sierrensis were examined in laboratory and field studies,0,,
these have been investigated in helobdella triserialis theromyzon rude and haementeria ghilianii five types of 5ht neurons are identified by immunocytochemistry in the abdominal ganglia of the ventral nerve cord the bilaterally paired retzius anteromedial ventrolateral and dorsolateral neurons and the unpaired posteromedial pm neuron,0,,
upon activation by most stimuli basophils and human lung mast cells simultaneously release histamine and arachidonic acid metabolites,0,,
the animal population is not equally spread over the country there is a marked preponderance of the pig and poultry population in the northern part fig 1 and 2 while cattle and horses are more equally spread,0,,
rabbit and human cdna clones have been identified that encode a novel integrin beta subunit,0,,
this index was the ability of plasma to cause gelation of limulus amebocyte lysate glal before and after intravenous administration of seb 8001000 microngkg of body weight to 13 rabbits,0,,
conformational lability of lipases observed in the absence of an oilwater interface crystallographic studies of enzymes from the fungi humicola lanuginosa and rhizopus delemar,0,,
the out put of lipid peroxides by a number of tissues of lantanaaffected guinea pigs decreases and can be attributed to enhanced activity of glutathione peroxidase and hyperbilirubinemia,0,,
klebsiella pneumoniae contains 15 linked nitrogen fixation nif genes three of which nifh nifd and nifk have been sufficiently conserved in evolution that cloned k pneumoniae nifhdk dna will hybridize to dna sequences from every nitrogenfixing bacterium examined to date including the purple nonsulphur bacterium rhodopseudomonas capsulata in which one complete nifhdk operon has been mapped,0,,
possible mechanisms for the increase in cpp induced by pafacether in the isolated perfused guinea pig heart include a direct receptor mediated constriction of coronary resistance vessels release of a noneicosanoid coronary constrictor as a mediator of the response or via enhancement of coronary microvascular permeability,0,,
workers in a kern county almond and pistachio nutpacking facility sought medical care for eye irritation conjunctivitis on three separate occasions in 1987 and 1988,0,,
a homologous sequence from aspergillus nidulans mtdna also has ars activity in s cerevisiae,0,,
rhinosporidiosis has been reported in human beings dogs and several other domestic species,0,,
a 29 kb shuttle cosmid vector ptys507 was constructed from a cryptic micromonospora griseorubida plasmid and the escherichia coli cosmid pjb8,0,,
transmission of brugia probably human filariasis by ma,0,,
the blomia is found in tropical and subtropical homes of europe usa and asia like the dermatophagoides,0,,
hrpb has a coding capacity for a 477aminoacid polypeptide which shows significant similarity to several prokaryotic transcriptional activators including the arac protein of escherichia coli the xyls protein of pseudomonas putida and the virf protein of yersinia enterocolitica,0,,
different types of manrodent hybrids are useful for human gene mapping,0,,
multiple lowdose tolerance to human gamma globulin respective roles of tcell suppression and direct thelper paralysis,0,,
the clearance of bacterial lipopolysaccharide lps from bacteroides fragilis was studied using wound chambers implanted subcutaneously in rabbits,0,,
an historical observation on why mama and papa,0,,
the released 35so4labeled chains from chinese hamster ovary cho cells and bovine pulmonary artery endothelial cells cpae were characterized by gel filtration anion exchange and lectin affinity chromatography and various enzymatic and chemical treatments,0,,
the 46 kda dbd of human parp and several derivatives thereof mutated in its first or second zincfinger were overproduced in escherichia coli in cv1 monkey cells or in human fibroblasts to study their dnabinding properties the transdominant inhibition of resident parp activity and the consequences on dna repair respectively,0,,
the traditional methods used in identifying mycobacteria such as acidfast bacillus stains and culture are often timeconsuming insensitive and nonspecific,0,,
since sulfasalazine and its metabolite 5aminosalicylic acid are effective therapeutic agents in inflammatory bowel disease and have been shown to inhibit generation of inflammatory products in other cells we examined the effect of these agents in vitro on human intestinal mast cell mediator release,0,,
both foxes and freeranging dogs could serve as the source of infection for the human population,0,,
blood smears were taken from 3 species of rodents the woodmouse apodemus sylvaticus the bank vole clethrionomys glareolus and an island subspecies cg,0,,
with the use of nuclear transcription runoff assays we have determined the kinetics of transcriptional activity for the cfos cmyc dr beta dq beta tfr blast1 and ig kappa genes in human tonsillar b lymphocytes of high to intermediate density after stimulation with staphylococcus aureus cowan i strain sac,0,,
methods spontaneously beating isolated working rabbit hearts perfused with modified krebshenseleit buffer containing 12 mm palmitate bound to 3 bovine serum albumin were subjected to 15 min of aerobic perfusion followed by 35 min of global noflow ischaemia and 30 min of aerobic reperfusion,0,,
the intrinsic and commissural projection of the vestibular nuclei were investigated by means of retrograde transport of normal hrp and wheatgermagglutinated horseradish peroxidase wgahrp,0,,
intranasal inoculation of n fowleri in mice produces an infection similar to human disease,0,,
clearances of 113minedta or 99mtc dtpa or 131iiothalamate were compared with 3hinulin simultaneously in rabbits or dogs,0,,
thus radioimmunoassay is a reliable rapid and relatively economical method which could be used for serological screening of primates entering experimental colonies to identify those which might be potential sources of outbreaks through activation of latent simian varicella virus infection,0,,
newborn northern fur seals callorhinus ursinusdo they suffer from cold,0,,
the binding of vinblastine to both human and rabbit platelets was identical with maximal binding occurring within 10 min at 600 microgramml vinblastine,0,,
at 1 and 3 months after extraction a actinomycetemcomitans and p gingivalis could not be detected in any of these patients on the oral mucous membranes and in saliva while from all patients still p intermedia mean 3 and the other blackpigmented prevotella species mean 4 could be isolated,0,,
human neutrophils stimulated with paf in the range of 105 to 107 m for 15 min released small quantities of leukotriene b4 and its omegaoxidation products 20oh and 20coohleukotriene b4 in amounts that were detectable by enzyme immunoassay,0,,
aphidicolin a tetracyclic diterpenoid obtained from the culture filtrates of cephalosporium aphidicola and other fungi inhibits the growth of eukaryotic cells and of certain animal viruses sv40 herpes and vaccinia viruses by selectively inhibiting the cellular replicative dna polymerase alpha or the viralinduced dna polymerases,0,,
two new heteromorphic deutonymphs hypopi acarina hypoderidae from the great frigatebird fregata minor,0,,
antibody labeling of the calciumbinding protein calbindin 28kd cabp and gammaaminobutyric acid gaba is altered by shortterm monocular deprivation in the lateral geniculate nucleus and visual cortex of adult primates,0,,
when human embryonic fibroblasts hef were infected with herpes simplex virus type 2 hsv2 replicative viral dna synthesis and some repair synthesis of cellular dna were induced at the early stage of infection but almost all dna synthesis at the late stage of infection was derived from repair synthesis of cellular and viral dna y,0,,
coherin a substance isolated from the bovine posterior pituitary gland exists as a complex which is dissociated to yield at least two distinct enteroactive polypeptides coherin a and b and a third having little or no activity coherin c the effects of intravenous injection of nondissociated coherin coherin g25 coherin a coherin b vasopressin and normal saline solution on the ber of the ileal biebl loop in fasting dogs were investigated,0,,
prolongation of human skin graft survival by lowdose rabbit antithymocyte globulin,0,,
disappearance of mouse igg from glomerular deposits indicating a dissociation of immune complexes was observed following incubation of kidney sections with an excess of mouse igg mouse fc fragments rat igg and rat fc fragments but not with human and rabbit cohn fractionii fii dna nucleohistone and pbs,0,,
the effect of two different regimens of intravenous infusion of amino acids on glomerular filtration rate gfr renal plasma flow rpf tubular sodium and water handling judged from the clearance of lithium cli and plasma concentrations of angiotensin ii ang ii aldosterone aldo arginine vasopressin avp atrial natriuretic peptide anp growth hormone gh and glucagon was investigated in healthy humans,0,,
the experimental vaccine protected the ewes in groups a and b against challenge with c psittaci ovis as none showed clinical signs of oea or excreted chlamydiae,0,,
nucleotide sequence of regions homologous to nifh nitrogenase fe protein from the nitrogenfixing archaebacteria methanococcus thermolithotrophicus and methanobacterium ivanovii evolutionary implications,0,,
not only putrescine and spermidine but also homospermidine were found in the photosynthetic eubacteria especially in the n2fixing species rhodospirillum and chromatium,0,,
thus in germany too t gondii infection in sheep during pregnancy should be considered as a possible cause of abortions particularly in case of abortions of unknown genesis,0,,
an xray microscopic study of the pattern and distribution of capillary beds in the atria of the human heart,0,,
histological preparation of the echinococcus sp tapeworms staining affinity of the adult form,0,,
the prophylactic use of drugs which are active against pneumocystis and toxoplasma has proven to be efficient,0,,
these results are in good agreement with reports of the immunohistochemical localization of chat and provide further evidence that cholinergic neurons are present within neocortex but not hippocampus,0,,
clostridium botulinum type f seasonal inhibition by bacillus licheniformis,0,,
histological studies on the neuroendocrine organs and retrocerebal complex of crynodes peregrinus fuessly chrysomelidaecoleopt,0,,
activity of human hippocampal formation and amygdala neurons during sleep,0,,
inbred iiij strain of rabbits were sensitized with an intravitreal injection of 103 pfu of type 1 herpes simplex virus hsv and sensitized cervical lymph node ln cells were obtained on postinfection day 12,0,,
